Date,Soybeans,shock_type,shock_direction,window_active,is_strong,ret_5d_at_shock,ret_10d_at_shock,ret_active_at_shock,oil_5d_at_shock,oil_10d_at_shock,oil_active_at_shock,soyoil_5d_at_shock,soyoil_10d_at_shock,ok,spike_size_pct,peak_day,peak_gain_pct,half_fade_day,full_fade_day,ret_30d_pct,persistence_30d_pct,survived_30d
2024-07-22,1117.75,speculative_down,down,10d,False,0.03687384044526909,-0.04811581860762193,-0.04811581860762193,-0.026004209346627283,-0.03097295026168645,-0.03097295026168645,0.01249465432858865,-0.04081632653061229,True,3.69,0,3.69,4.0,4.0,-7.51,-203.8,False
2024-07-23,1117.5,oil_collapse,down,10d,False,0.024759284731774356,-0.03788204907447268,-0.03788204907447268,-0.04705303307629627,-0.05466164325586298,-0.05466164325586298,-0.000856550639696918,-0.004268048662706803,True,2.48,0,2.48,3.0,3.0,-7.75,-313.0,False
2024-07-26,1077.5,oil_collapse,down,10d,False,-0.017999544315333793,-0.050242397531952365,-0.050242397531952365,-0.03706469104093113,-0.06142799511741015,-0.06142799511741015,-0.062285254302902215,-0.0818086109792524,True,-1.8,15,-14.45,,,-8.86,61.4,True
2024-07-29,1054.75,oil_collapse,down,5d,True,-0.056363229702527384,-0.021567717996289426,-0.056363229702527384,-0.04976186113621939,-0.07447205262838263,-0.04976186113621939,-0.0885106350513215,-0.07712189051210294,True,-5.64,14,-16.01,,,-12.55,78.4,True
2024-07-30,1027.25,speculative_down,down,5d,True,-0.08076062639821024,-0.05800091701054566,-0.08076062639821024,-0.02897603630544976,-0.0746656589870458,-0.02897603630544976,-0.08379768238745433,-0.08458245606869719,True,-8.08,13,-16.0,,,-12.33,77.1,True
2024-07-31,1028.5,speculative_down,down,5d,True,-0.07425742574257421,-0.06265664160401008,-0.07425742574257421,0.0041243374058839155,-0.059625768292014714,0.0041243374058839155,-0.05910476300841183,-0.0629733803303606,True,-7.43,12,-15.5,,,-10.76,69.4,True
2024-08-01,1022.0,speculative_down,down,5d,True,-0.08422939068100355,-0.06964041875284477,-0.08422939068100355,-0.025166086502598994,-0.07860422796689903,-0.025166086502598994,-0.06417817841674167,-0.07707215871374162,True,-8.42,11,-15.88,,,-11.58,72.9,True
2024-08-02,1029.25,oil_collapse,down,10d,False,-0.0447795823665893,-0.06197311460469357,-0.06197311460469357,-0.04717479064649721,-0.08249096264719524,-0.08249096264719524,-0.044663325005829924,-0.10416671275273082,True,-4.48,10,-12.88,23.0,,-6.77,52.6,True
2024-08-05,1044.25,oil_collapse,down,10d,True,-0.009954965631666313,-0.06575710131961532,-0.06575710131961532,-0.03785773921136548,-0.08573572878601776,-0.08573572878601776,-0.042016788763989066,-0.12680849115899273,True,-1.0,9,-11.0,20.0,,-4.62,42.0,True
2024-08-06,1028.5,oil_collapse,down,10d,True,0.0012168410805548646,-0.07964205816554815,-0.07964205816554815,-0.020473790177468865,-0.04885657719542624,-0.04885657719542624,-0.04397663317228617,-0.12408917562069977,True,0.12,0,0.12,1.0,1.0,-1.29,-1060.0,False
2024-08-07,1020.25,speculative_down,down,10d,True,-0.008021390374331583,-0.08168316831683164,-0.08168316831683164,-0.034398667426570384,-0.03041620173146653,-0.03041620173146653,-0.024249405440216476,-0.08192091308698946,True,-0.8,7,-8.73,18.0,,-1.48,17.0,True
